num_polls,julian_date,date_most_recent_poll,median_margin,esd
10,250,249,1.60,5.15
12,249,249,0.60,4.63
13,248,247,0.00,5.10
14,247,247,0.60,5.51
15,246,246,0.70,5.35
14,245,244,0.95,5.38
14,244,244,0.95,5.38
13,243,242,0.70,5.40
13,242,242,0.70,5.45
14,241,241,-0.50,4.54
13,240,240,-1.00,5.13
14,239,238,-0.50,4.59
14,238,238,-0.50,4.59
14,237,237,0.35,4.81
13,236,236,0.00,4.40
11,235,235,0.70,5.54
11,234,234,0.70,5.02
11,233,233,0.70,4.70
11,232,232,1.00,4.95
12,231,230,0.75,4.44
12,230,230,0.75,4.44
12,229,229,0.75,4.15
12,228,228,0.75,4.19
12,227,226,1.50,3.74
14,226,226,2.00,3.72
12,225,224,1.50,3.43
12,224,224,1.50,3.43
12,223,223,1.50,3.90
14,222,221,0.75,3.18
14,221,221,0.75,3.18
13,220,220,1.00,3.24
13,219,219,1.00,3.50
15,218,218,1.21,3.96
14,217,216,1.60,4.20
15,216,216,1.21,5.24
15,215,214,1.21,5.45
18,214,214,0.60,4.93
18,213,213,0.00,4.90
17,212,212,0.00,4.68
17,211,210,0.00,4.58
18,210,210,0.50,4.74
18,209,209,1.10,4.86
16,208,207,1.60,5.65
18,207,207,0.60,5.55
18,206,206,0.60,5.32
16,205,205,0.60,5.32
15,204,203,0.00,4.86
15,203,203,0.00,4.86
14,202,202,1.00,4.65
16,201,201,-0.30,4.23
16,200,200,1.00,4.85
17,199,199,0.00,4.71
15,198,198,0.00,4.86
15,197,197,0.00,5.01
14,196,196,-0.50,5.27
14,195,195,-0.50,5.42
16,194,194,-1.00,4.89
15,193,192,-1.00,5.71
15,192,192,-1.00,5.41
18,191,191,-1.00,4.87
15,190,188,-1.00,4.62
17,189,188,-1.00,5.17
18,188,188,-1.00,5.16
17,187,187,-1.00,5.58
16,186,186,-1.00,5.05
15,185,184,-1.00,5.48
15,184,184,-1.00,5.48
15,183,181,-2.40,4.91
16,182,181,-3.20,4.77
17,181,181,-2.40,5.01
15,180,180,-2.40,5.19
15,179,179,-1.00,5.36
15,178,178,-0.18,5.67
13,177,176,-3.00,5.25
13,176,176,-3.00,5.25
12,175,175,-3.50,3.96
12,174,174,-3.50,4.33
12,173,173,-1.59,3.82
11,172,172,-0.18,3.85
11,171,171,0.00,3.94
11,170,170,-3.00,4.47
10,169,169,-1.25,4.54
9,168,168,0.50,4.49
9,167,167,-0.80,4.09
9,166,166,-0.80,4.82
8,165,165,-1.90,5.04
8,164,164,0.60,5.36
7,163,163,-0.80,5.00
7,162,160,-0.80,4.64
7,161,160,-0.80,4.64
7,160,160,-0.80,4.64
7,159,158,-1.00,3.72
8,158,158,-1.50,3.43
8,157,157,-1.50,3.16
7,156,156,-0.80,3.08
7,155,154,-0.80,3.56
7,154,154,-0.80,3.56
7,153,153,-0.30,3.62
9,152,151,-1.00,2.78
9,151,151,-1.00,2.78
9,150,146,-2.00,2.99
11,149,146,-2.00,3.27
12,148,146,-2.06,3.08
13,147,146,-2.12,3.18
14,146,146,-2.06,3.78
13,145,145,-2.12,4.23
12,144,144,-2.06,4.94
13,143,143,-0.30,4.60
13,142,142,-2.00,4.91
13,141,140,-2.00,4.77
13,140,140,-2.00,4.77
15,139,139,-1.00,4.49
14,138,137,-1.00,4.37
14,137,137,-1.00,4.37
14,136,136,-1.00,4.03
12,135,135,-1.00,4.48
12,134,134,-1.00,4.66
11,133,133,-1.00,4.50
10,132,130,-1.00,4.08
12,131,130,-1.00,3.66
13,130,130,-1.00,4.68
15,129,129,-2.00,5.12
15,128,126,-2.00,4.65
15,127,126,-2.00,4.65
16,126,126,-2.50,5.36
14,125,125,-3.00,5.71
14,124,123,-2.00,5.52
16,123,123,-2.50,5.45
16,122,122,-2.00,5.51
19,121,121,-2.00,4.92
17,120,118,-2.00,4.94
17,119,118,-2.00,4.94
17,118,118,-2.00,4.94
16,117,117,-2.70,5.24
15,116,116,-2.40,5.10
12,115,115,-2.00,5.35
11,114,113,-1.00,5.91
11,113,113,-1.00,5.91
10,112,112,-1.50,4.31
10,111,111,-1.50,4.23
9,110,110,-2.00,4.37
7,109,109,-1.00,3.98
7,108,108,-1.00,3.60
5,107,107,0.90,5.29
5,106,104,-3.00,4.73
5,105,104,-3.00,4.73
5,104,104,-3.00,4.73
5,103,102,-3.00,3.55
5,102,102,-3.00,3.55
5,101,101,-3.00,4.19
5,100,098,0.00,3.70
5,099,098,0.00,3.70
5,098,098,0.00,3.70
6,097,095,-1.50,4.92
7,096,095,-3.00,5.12
7,095,095,-3.00,5.12
10,094,094,-2.50,3.71
13,093,090,-1.65,3.44
14,092,090,-1.82,3.55
15,091,090,-1.65,3.30
15,090,090,-1.65,3.30
16,089,088,-1.82,4.12
16,088,088,-1.82,4.12
16,087,086,-1.82,4.28
19,086,086,-1.00,3.86
19,085,084,-1.00,3.83
19,084,084,-1.00,3.83
19,083,083,-1.00,3.52
18,082,081,-1.00,3.27
18,081,081,-1.00,3.27
